;BBAS3;BBDC3;BBDC4;BOVA11;BRAP4;BRFS3;BRKM5;BRML3;BTOW3;CCRO3;CESP6;CIEL3;CMIG4;CPFE3;CPLE6;CSAN3;CSMG3;CSNA3;CYRE3;ELET6;EMBR3;FIBR3;GGBR4;GOAU4;HGTX3;HYPE3;ITUB4;LAME4;LIGT3;LREN3;MULT3;NATU3;PETR3;PETR4;PSSA3;RENT3;SANB11;SBSP3;TRPL4;VALE3;VALE5
04/01/10;0.006711435;0.033123212;0.035640921;0.012620752;0.017239588;0.009214633;0.012001556;0.004640380;-0.027358296;0.005250668;0.017736081;0.029546144;-0.007305098;0.033146051;0.032145150;-0.003913899;-0.007547206;0.003742986;-0.012320484;0.039560165;0.037155977;0.005357839;0.015662561;0.024049822;0.005097717;0.023716527;0.041206325;0.014066728;-0.013563471;0.023885485;0.037797394;0.042857927;0.000000000;0.017025138;0.025986070;0.009273637;-0.006295928;-0.012586146;-0.002515238;0.039414944;0.030800382
05/01/10;-0.010084119;-0.013869343;-0.004934471;0.007611152;0.019952676;0.010428076;-0.009164675;0.018349139;-0.024155238;0.013622502;0.025828716;-0.006986373;0.015185360;-0.012128043;0.001306336;0.000392080;0.000000000;0.009208494;-0.009549585;-0.015267472;-0.023578745;0.037457563;0.016750810;0.011949566;0.005071862;0.013097447;0.006459650;-0.035544937;-0.024887716;-0.036689757;-0.004460974;-0.012745791;-0.006020488;-0.008611463;-0.017094433;0.013245227;0.009637619;0.001471671;0.000581001;0.009279015;0.013919221
06/01/10;0.001350439;-0.005907467;-0.008032172;0.005706150;0.013906358;0.013523873;0.023793985;0.044451763;0.010953012;0.032670782;0.011881328;-0.002552650;-0.019018006;0.006633523;0.004428821;-0.029033656;0.000000000;0.001233154;0.001250782;-0.012695634;-0.004158010;-0.002208319;0.006622541;0.009895628;0.011735256;0.038293499;-0.008705440;-0.019263299;-0.000800320;-0.019519162;0.013323661;0.012217947;0.009854665;0.013423020;0.021925361;0.075047380;-0.005016733;-0.000294161;-0.004852023;0.020945168;0.019522666
07/01/10;0.000337325;-0.002306806;-0.002691792;-0.004276557;0.011036286;-0.006202565;-0.025211419;-0.013129291;0.011265284;-0.009329095;0.032916815;0.023367025;-0.009646377;-0.012474174;-0.009664435;-0.054740033;-0.062520357;-0.010619569;-0.019352729;0.021884060;-0.013634191;-0.008139150;-0.022697904;-0.019890158;0.000000000;0.011987234;-0.010295132;-0.000670916;-0.020219047;-0.009240990;-0.004421525;-0.034375028;-0.005997379;-0.009377162;0.011976191;-0.043172172;-0.007150398;-0.016014577;-0.004875680;0.004136899;0.006644543
08/01/10;0.005717184;0.001318826;-0.001078749;-0.007456301;0.014528101;0.004068093;-0.014285957;-0.008849615;-0.024202642;-0.000240356;-0.032916815;-0.012562979;-0.000969775;0.012474174;0.003929278;0.008911580;-0.042503515;0.022346316;-0.001700681;0.011518769;-0.002114166;-0.022033941;-0.002704532;0.001672707;0.016529302;0.026233978;-0.015259706;0.003350087;-0.019802627;0.005291018;-0.045324978;-0.016529302;-0.007487053;-0.005398124;-0.000476304;0.009270620;-0.010182523;0.016602812;-0.020541903;0.009710627;0.005503591
11/01/10;0.007683352;-0.003300333;0.000809171;0.007313433;0.004317589;-0.003210276;0.092690663;-0.017485314;-0.009089964;0.009569451;-0.002364999;-0.014004048;-0.000647040;0.023146030;0.015564517;0.003374107;-0.013896173;0.019471624;0.009739649;-0.003925718;0.009478744;0.003790276;0.000676819;0.016574965;0.011410067;-0.015748357;-0.008751665;0.003338901;-0.004175371;0.018301164;-0.019981932;-0.020202707;0.000969227;-0.003252917;0.000476304;0.005328179;0.010604553;0.007323894;0.007752747;-0.002977854;0.004381168
12/01/10;-0.008354267;0.004946424;0.002961370;-0.004152057;0.000239320;-0.003220615;-0.009884759;-0.010457017;-0.011874229;0.000000000;0.008253142;-0.030591386;0.004842624;0.006706933;0.019625964;-0.021277398;-0.010291686;-0.018775851;0.016301301;-0.015244198;0.032992683;-0.036470400;-0.007129550;-0.016018017;0.001619434;-0.041672696;-0.009350717;0.015216966;0.014125702;0.023048395;-0.001893940;0.022976634;-0.012673823;-0.012843461;-0.004773279;0.028573372;0.001686341;-0.019452426;0.012038999;-0.002799815;0.002183407
13/01/10;0.012671060;0.006557401;0.005361943;0.004294924;0.008814828;0.008991711;-0.013333531;-0.001372056;0.009644574;-0.014388737;0.012060057;-0.011968228;0.001930503;-0.005361943;-0.018854062;-0.008639363;-0.017391743;0.017067909;-0.015458841;0.019471257;-0.010193768;-0.019279615;0.004758677;0.002224695;0.022400937;-0.013327184;0.003126631;0.010450781;0.009034969;0.011328000;-0.011120051;-0.013666368;-0.009116732;-0.001651528;0.000000000;0.005617992;0.006717070;0.011246049;0.002595071;0.012260975;0.014292145
14/01/10;-0.014350321;-0.013158085;-0.021622464;-0.007168489;-0.005231879;-0.018716261;0.000000000;-0.051172863;-0.001563722;0.004819286;-0.025853379;0.013289232;-0.023086702;-0.004580366;-0.016075016;0.023580943;-0.017699577;0.008510690;-0.009306328;-0.022548183;-0.009264091;-0.018571386;-0.001017812;-0.010611661;0.018809332;0.038538604;-0.013883655;-0.017038420;0.001633987;-0.022529747;0.012698583;-0.003093801;-0.016219944;-0.017507742;-0.004796172;0.002331547;-0.027573327;-0.013928214;-0.004796172;-0.000184655;-0.002799011
15/01/10;-0.016949558;-0.022773925;-0.014309545;-0.014493007;-0.011752144;0.007571697;-0.030666798;0.012921931;-0.027883479;-0.008206660;-0.012779727;0.001319261;-0.016584128;-0.013594554;-0.014744870;-0.007229460;-0.045670037;-0.021240949;-0.012401271;-0.040886198;0.009264091;-0.036236851;-0.020923418;-0.024152332;0.036589447;-0.008798390;-0.017026216;-0.011299555;-0.020619287;-0.035969476;0.003149609;-0.009623624;0.006019582;0.002240270;-0.004819286;-0.008419133;-0.015168221;-0.000298463;0.001801261;-0.013011336;-0.005188079
18/01/10;0.000341822;0.009440394;0.008830079;0.005822433;0.000241225;0.003227544;-0.010434877;-0.001427552;-0.021141454;0.004835599;-0.027298497;0.010491900;-0.020270964;-0.014614902;-0.007454774;-0.005134799;-0.009767170;0.004146516;-0.011250660;-0.004827041;-0.016529302;0.027779564;-0.005212870;-0.000863185;0.033851650;-0.023530497;0.008815337;-0.024358444;0.004987542;0.009771635;0.006269613;-0.001707942;0.022500640;0.022130917;-0.015579672;0.030529661;0.004357305;-0.026006909;-0.012272561;0.013934271;0.012063912
19/01/10;0.016607736;0.016309232;0.009025085;-0.011385322;0.036471009;0.009620598;-0.003502631;0.005224424;-0.022318115;0.059460527;0.038092126;-0.015779420;0.019267116;0.006920443;0.014854385;0.008968670;0.000377430;0.010632925;-0.000870701;0.034557251;0.047797608;0.044213497;-0.003140816;0.004595068;-0.002318170;0.030021016;-0.002663117;0.010221554;0.003311261;0.011757157;0.003120127;0.026705733;-0.005639343;-0.004662013;0.003428855;0.002275314;0.006068506;-0.001226242;-0.003853569;0.013742772;0.011708489
20/01/10;-0.030372579;-0.031593213;-0.023971401;-0.006184676;-0.029500664;0.025211419;-0.014134511;0.045830747;-0.063690541;0.004535155;-0.044722900;-0.028909576;-0.012464369;0.001378360;-0.018066379;-0.036367644;0.033398280;-0.024522037;-0.047723660;-0.039083608;-0.011988156;-0.023605393;-0.035940534;-0.036473773;0.000869944;0.002768807;-0.026754737;-0.042235422;-0.008298803;-0.039470095;-0.041341340;-0.018195044;-0.027925026;-0.025895920;-0.032300945;-0.039402548;-0.021402870;-0.027995607;-0.017423829;-0.027677043;-0.017937701
21/01/10;-0.016419583;-0.021978907;-0.025475127;-0.026947738;-0.030397477;-0.019060164;-0.008577608;-0.032186686;0.023268627;-0.022884294;-0.057770072;0.006120386;0.001693481;-0.016667052;-0.002684565;-0.037282557;-0.003656311;-0.045055887;-0.034862931;0.025593208;-0.002012073;-0.034957137;-0.044451763;-0.044046604;-0.020498522;-0.009259325;-0.018521608;-0.024339068;0.000416580;-0.022129028;-0.026317308;-0.011363759;-0.028467110;-0.032103646;-0.006587305;-0.038558994;-0.033673215;-0.021362202;-0.007472015;-0.035224965;-0.036200070
22/01/10;0.005269642;0.011428696;0.000000000;-0.004715196;-0.026014474;-0.010415654;-0.023239971;0.018519048;0.026398474;-0.052268429;-0.008405270;0.043773567;-0.005429263;0.016667052;0.002684565;0.046935989;-0.020352229;-0.019948944;0.009884759;0.105707897;-0.003025721;-0.043163997;-0.013346242;-0.007794272;-0.006232399;-0.004662013;0.011374793;-0.027922461;0.016112722;-0.013908430;0.000000000;0.008534902;0.002338575;0.012159965;-0.009193119;-0.002460026;-0.009174376;-0.020511870;0.003535410;-0.021350336;-0.022823271
26/01/10;-0.027350311;0.000000000;0.005021982;-0.009343715;-0.017898714;-0.034786116;-0.020037776;-0.016185324;-0.037206673;-0.024942644;0.047287057;-0.007163821;0.043608174;-0.005524876;0.019381995;-0.011860451;-0.028437935;0.004653336;0.016260521;-0.015175667;-0.006079046;-0.037249355;0.008790425;0.010895049;-0.037614383;-0.016965534;0.002479682;-0.012748579;0.008569732;-0.008438869;0.001665279;-0.055327064;-0.018070414;-0.024764558;-0.008243220;0.009804000;0.031748698;0.003939598;0.001659407;-0.020400708;-0.026637360
27/01/10;-0.007953766;-0.019121041;-0.022479971;-0.001231907;-0.007510070;0.026202372;-0.005261192;-0.024063440;-0.021714993;0.017598670;-0.004246291;-0.013158085;0.003252035;0.006075688;-0.001315617;-0.011108757;0.007662873;-0.020070073;0.014184635;-0.028088447;-0.013299429;0.017910927;-0.028953962;-0.028259337;-0.032995923;0.009931508;-0.014412666;0.012748579;0.016122880;-0.001413428;0.001662511;0.044790159;0.004219416;0.006175582;-0.017219314;-0.035753560;-0.018018506;-0.008225083;-0.004361831;-0.013835419;-0.015137470
28/01/10;0.001813237;0.007309130;0.016828465;0.004611845;-0.004428821;-0.017391743;0.000000000;-0.016370130;-0.026696168;0.001227747;-0.034635497;0.003305788;0.005827145;-0.004138508;0.004728141;-0.026257733;-0.019268419;0.028207717;0.006340601;-0.005952399;0.003084835;0.024548281;0.002738120;-0.003509335;-0.029175489;0.023256862;0.029434115;-0.027957998;0.005582152;0.001413428;-0.002994512;-0.012386735;0.020834087;0.014552061;-0.003162891;-0.024566230;0.018018506;0.022215876;-0.017640105;-0.000614817;0.004517901
29/01/10;0.017953804;-0.015061107;-0.013631531;-0.004611845;0.013485682;-0.009917437;-0.000753864;-0.004866190;0.007926065;-0.013091455;0.034209874;-0.009950331;0.011872432;0.003036579;0.009908816;-0.023202897;-0.007812540;0.012993137;-0.023294043;0.035194248;0.025343475;-0.013075880;-0.010208177;0.001596679;0.013072082;-0.001840774;-0.020816966;0.013698844;-0.008785999;0.016251408;-0.000333278;-0.016365064;-0.015061308;-0.012794592;0.001055409;0.022541938;0.005342844;0.012841268;0.005282632;0.002661482;-0.000237276
01/02/10;0.065427805;0.011605546;0.016775200;0.017564407;0.029943876;-0.005552485;0.004514680;-0.006361656;0.036179657;0.017010148;0.031841819;-0.004677590;-0.009615459;0.014231220;0.005434093;0.101691822;0.009756175;0.022472856;0.047821471;-0.031417549;-0.030490167;0.023700531;0.025712363;0.017083617;0.030063025;0.030841447;0.018978201;0.016492128;0.012358140;0.011605546;0.000000000;0.005582503;0.002613014;0.003797288;-0.003169575;0.037289928;-0.021998642;0.027683429;0.003366298;0.029810868;0.034059742
02/02/10;0.019802627;0.011599912;0.015717927;0.009792922;-0.002503130;0.000000000;0.003746726;0.026642409;0.007585371;-0.010319502;0.013923239;0.012645759;-0.014598799;-0.010929071;-0.009073296;-0.007662873;0.000000000;0.015348277;0.017467693;-0.013544225;-0.004136511;0.017273543;0.022814678;0.028449661;0.041955567;0.061071150;0.013223779;0.025689486;-0.003572141;0.008207980;-0.003338901;0.018002809;-0.000522057;-0.005847970;0.000000000;-0.007347572;-0.001362707;-0.009351689;0.002098196;0.000000000;0.001375201
03/02/10;-0.024815169;0.003417509;-0.006201570;-0.001650537;-0.001253919;0.029839862;-0.005249356;0.036606621;-0.002017146;-0.002225245;0.016535969;0.031893364;-0.013489265;0.010385445;-0.012051495;0.018628820;0.015032081;-0.002278504;-0.004338402;-0.051293294;0.025576842;-0.010441749;-0.002635048;-0.011961498;0.026827242;0.006282743;-0.004298771;0.023631605;0.011857846;0.054869997;0.045759617;0.014285957;-0.000261131;-0.001761081;0.005277057;-0.015857617;0.019356895;0.002189896;-0.004411308;-0.002185359;-0.003211749
04/02/10;-0.018597324;-0.030404497;-0.029994356;-0.049090555;-0.055462311;-0.027615167;-0.025896344;-0.035173614;-0.057663337;-0.042990185;-0.051293294;-0.039861533;-0.035742173;-0.015895100;-0.017280770;-0.024199865;-0.020093412;-0.042658798;-0.060950762;-0.050370359;-0.030771659;-0.064443963;-0.047867107;-0.039652772;-0.047893507;-0.010493276;-0.039263794;-0.066569362;-0.016640638;-0.045378400;-0.040090101;-0.036105005;-0.049247307;-0.052469073;-0.016450358;-0.057569852;-0.063973961;-0.040821995;-0.017628151;-0.055615312;-0.053569490
05/02/10;-0.048960827;-0.027333847;-0.037555434;-0.022329476;-0.019282868;-0.022472856;-0.000771903;-0.010556720;-0.038151766;-0.018253440;0.016701850;-0.038740828;0.021396639;-0.012508850;-0.001341742;0.005571045;-0.018515400;-0.005692789;-0.025270413;-0.011810497;-0.015748357;-0.014016073;-0.024821130;-0.034621355;0.009213824;-0.079445137;-0.025813375;-0.048034020;-0.001199281;-0.000539957;-0.019137734;-0.026827242;-0.017993565;-0.024444965;-0.032076683;-0.006902071;-0.038270594;-0.010471300;0.003635979;-0.008445996;-0.010969031
08/02/10;0.012466769;-0.010090903;-0.001665279;0.009630893;0.008079764;0.002270149;0.016845728;0.027125146;-0.031032109;-0.007926065;0.030984949;-0.030252043;0.004693270;0.020761991;0.005890245;0.045937095;-0.007984074;0.001656086;0.000947418;0.003050333;0.018868484;0.059848189;-0.015111580;-0.013382602;-0.012613611;-0.008717651;-0.002877700;-0.026539555;0.024107075;-0.007862315;0.033008498;0.012012156;0.009452392;0.006955450;-0.005540180;-0.014489119;0.021495698;0.004267198;0.014623552;0.007183635;0.010969031
09/02/10;0.048705879;0.026422674;0.033434776;0.023523067;0.028297538;0.024637304;0.004545462;0.032335381;0.042081945;0.015789802;-0.000401526;0.016295082;0.015926017;0.002189382;0.024783763;0.024194729;-0.014127379;0.025593556;0.050322179;0.010436048;0.012384059;0.024269571;0.018349139;0.017031636;0.048347784;0.049448275;0.043699694;0.042287912;0.018569199;-0.001089325;0.023019334;-0.004487666;0.017010012;0.015630203;0.005540180;0.034531984;0.026706404;0.026504460;0.015863409;0.020834087;0.023479756
