;BBAS3;BBDC3;BBDC4;BOVA11;BRAP4;BRFS3;BRKM5;BRML3;BTOW3;CCRO3;CESP6;CIEL3;CMIG4;CPFE3;CPLE6;CSAN3;CSMG3;CSNA3;CYRE3;ELET6;EMBR3;FIBR3;GGBR4;GOAU4;HGTX3;HYPE3;ITUB4;LAME4;LIGT3;LREN3;MULT3;NATU3;PETR3;PETR4;PSSA3;RENT3;SANB11;SBSP3;TRPL4;VALE3;VALE5
04/01/10;0.000150024;0.000255441;0.000246245;0.000061112;0.000192610;0.000537970;0.000283143;0.000242004;0.000167500;0.001082062;0.000454348;0.000269487;0.000162679;0.000253488;0.000420880;0.000569677;0.000270944;0.000074226;0.000341210;0.000250385;0.000258547;0.000143589;0.000112387;0.000159391;0.002463134;0.000887155;0.000245604;0.000211357;0.000230648;0.000159528;0.002028605;0.000803880;0.000113409;0.000056573;0.000554688;0.000687508;0.000219906;0.001949214;0.000448391;0.000107354;0.000057384
05/01/10;0.000262753;0.000208992;0.000242574;0.000094259;0.000173445;0.000256798;0.000349859;0.000275081;0.000258348;0.000190424;0.000655146;0.000274110;0.000153242;0.000208185;0.000462487;0.000564519;0.000879087;0.000178244;0.000323616;0.000402490;0.000509795;0.000609444;0.000200958;0.000244109;0.000224851;0.000693213;0.000222680;0.000290165;0.000408771;0.000478269;0.000450131;0.000828060;0.000169624;0.000121097;0.000839100;0.000695270;0.000348051;0.000362764;0.000472398;0.000248493;0.000228853
06/01/10;0.000151308;0.000296816;0.000164999;0.000057940;0.000361179;0.000331302;0.000454383;0.000361572;0.000363891;0.000647380;0.000428442;0.000185416;0.000184454;0.000359920;0.000618058;0.000354399;0.000142786;0.000207284;0.000306561;0.000244539;0.000307022;0.000418311;0.000154815;0.000234146;0.000057573;0.000680155;0.000093863;0.000317965;0.000087437;0.000346321;0.000287516;0.000372836;0.000264213;0.000113962;0.000539245;0.001476772;0.000308812;0.000473027;0.000336846;0.000243339;0.000147925
07/01/10;0.000133844;0.000171754;0.000160477;0.000075225;0.000258661;0.000300860;0.000185773;0.001097592;0.000568554;0.000257938;0.000276135;0.000434132;0.000186873;0.000231213;0.000278181;0.000789284;0.001060191;0.000173868;0.000315428;0.000317451;0.000222347;0.000416695;0.000327181;0.000301774;0.000833601;0.001700801;0.000150200;0.000333711;0.000176428;0.000391716;0.001101707;0.000546262;0.000195038;0.000089167;0.000244510;0.001320676;0.000187881;0.000240398;0.000766406;0.000215560;0.000156081
08/01/10;0.000089031;0.000292685;0.000233769;0.000157394;0.000299723;0.000412358;0.000193876;0.001003387;0.000261472;0.000331178;0.000613260;0.000321368;0.000233288;0.000220170;0.000800708;0.001614091;0.000726780;0.000211404;0.000403670;0.000862740;0.000345306;0.000554022;0.000260878;0.000374053;0.000401700;0.002437518;0.000169331;0.000307724;0.000370377;0.000157376;0.001708029;0.000359636;0.000195455;0.000116698;0.000423374;0.001165521;0.001950596;0.000488819;0.000166470;0.000228450;0.000162169
11/01/10;0.000236637;0.000388548;0.000210933;0.000085554;0.000194440;0.000244304;0.000550478;0.001808766;0.000126735;0.000285517;0.001111961;0.000563691;0.000222826;0.000268544;0.000300223;0.000417619;0.000299025;0.000151239;0.000422101;0.000654138;0.000139263;0.000276211;0.000160817;0.000297386;0.000694941;0.001453451;0.000323971;0.000363185;0.000152833;0.000227566;0.001468787;0.000308594;0.000176648;0.000090837;0.001978983;0.000718145;0.000441329;0.000156796;0.000489743;0.000233906;0.000069199
12/01/10;0.000286982;0.000296244;0.000275554;0.000156236;0.000217037;0.000234453;0.000456840;0.000497439;0.000297131;0.000396606;0.000788928;0.000295557;0.000414696;0.000198050;0.000643875;0.000635672;0.000162191;0.000220231;0.000376487;0.000376435;0.000498858;0.000295172;0.000273849;0.000424237;0.000045597;0.001317795;0.000178848;0.000273596;0.000183001;0.000495270;0.000407371;0.000169077;0.000159023;0.000114964;0.000293697;0.000685159;0.000257644;0.000269959;0.000285901;0.000192340;0.000128123
13/01/10;0.000201825;0.000220296;0.000181278;0.000186861;0.000314388;0.000349494;0.000651048;0.000700071;0.000632006;0.000733130;0.001509244;0.000458665;0.000329177;0.000244805;0.000357573;0.000359330;0.000180085;0.000295689;0.000469002;0.000837603;0.000396012;0.000350154;0.000287442;0.000501255;0.000518591;0.000657437;0.000312323;0.000421429;0.000275579;0.000353726;0.000359222;0.000328049;0.000316536;0.000273529;0.000903522;0.001667064;0.000421477;0.000414191;0.000466244;0.000269874;0.000121542
14/01/10;0.000156820;0.000220511;0.000205689;0.000104611;0.000190434;0.000269782;0.000312898;0.000380786;0.000448761;0.001075646;0.001057679;0.000153795;0.000238812;0.000286227;0.000391938;0.000247350;0.000226755;0.000154127;0.000270980;0.000914040;0.000326203;0.000473485;0.000323340;0.000586515;0.000576014;0.000846678;0.000247094;0.000309275;0.000382796;0.000353097;0.000195954;0.000316444;0.000252524;0.000156310;0.000560482;0.001173918;0.000172390;0.000373974;0.000224543;0.000267443;0.000088829
15/01/10;0.000276488;0.000208928;0.000138308;0.000066497;0.000294625;0.000234952;0.000414795;0.000467145;0.000194755;0.000719093;0.000830508;0.000270294;0.000228661;0.000394696;0.000465906;0.000531503;0.000398176;0.000292265;0.000259311;0.000476108;0.000568062;0.000313052;0.000218107;0.000562624;0.004292021;0.001930558;0.000192982;0.000239421;0.000335861;0.000361298;0.000911706;0.000254627;0.000157183;0.000157936;0.001196975;0.000487966;0.000249780;0.000332120;0.000492896;0.000189285;0.000098807
