Australia	Austria	Belgium	Canada	Denmark	Finland	France	Germany	Greece	Hong_Kong	Ireland	Italy	Japan	Netherlands	Norway	New_Zealand	Portugal	Singapore	Spain	Sweden	Switzerland	UK	USA
-0.45310581	-0.53374145	-0.73723708	-0.54147181	-0.49431248	0.78017991	-0.16500157	-0.37060143	0.37027531	0.56976988	-0.25060205	-0.46189372	-0.61835889	-0.16310836	-0.3505325	-1.0091014	0.025887521	-0.26260512	-0.75676809	0.006900756	-0.80216965	-1.5761647	0.5693585
0.28856305	0.78024346	0.95686095	-0.31394085	1.7328571	-0.39237396	0.53694771	0.81644409	1.0356678	-0.35134032	0.42959192	0.11666772	-0.30768777	0.74180804	0.66537848	1.1163811	-0.56715441	-0.13870685	0.0229136	-0.25131765	0.002640526	-0.3538873	-1.4608626
-0.23730357	-0.61948229	-0.11621487	-0.15313765	-1.7414336	-2.7506013	-1.1354112	-0.7440072	-0.66652112	-0.15500785	-0.90673686	-0.35319374	-0.64909029	-1.5332783	-1.4706433	0.28351352	-0.82219449	0.11412526	-0.82534818	-1.3660217	-1.153205	-0.42337212	-0.33790755
-0.52962094	-0.05691095	0.030318728	-0.3378558	0.03881879	0.55947843	0.030019898	-0.35374482	0.21280382	0.39972551	0.17815345	0.34628467	-0.57082982	-0.28496364	0.21985947	0.12354692	-0.10291064	0.53159805	-0.086914363	0.23638316	0.000718309	0.11030656	0.15820199
-0.57434915	-0.70195688	-0.14544019	-0.78726615	-0.003860343	1.6305663	0.90848904	-0.031867335	-0.19447558	-0.81208957	-0.29467827	1.6577755	-0.20600425	0.90003967	0.69584929	-0.17570107	0.037130266	-0.4334821	0.33928379	-0.39433739	0.33492612	0.28791109	-1.3445441
0.11583717	-0.25422199	-1.9871709	-0.30246506	0.1962503	-1.6537864	-1.2375575	-1.1373951	-0.1310693	-0.6670911	-0.90486493	-0.84915615	-0.53736326	-1.609556	0.18720257	-0.15414529	-0.72075436	-0.55561209	-1.3423205	-1.1213928	-2.2755674	-0.98945606	0.40869139
-0.39609567	-0.24234677	-1.7029769	-0.81973643	-0.70512775	-0.43343194	-0.72459332	-0.5989367	-0.61384777	-0.16973232	-0.24847487	-1.2851627	-1.1459761	-0.50971983	0.018659801	-0.058615387	-1.3699976	-0.063795434	-0.93006157	0.29580634	-1.0827973	-1.1571701	-0.73660563
-1.9096502	-0.49825663	-1.0192034	-0.94452994	-1.3668046	0.11245396	-1.5056929	-2.2285752	-1.3672776	-1.2141891	-1.4319973	-1.1289886	-1.1566719	-1.5279982	-1.641815	-1.2352349	-1.3529432	-2.090768	-1.3301299	-1.011005	-0.57992303	-1.9742107	-0.25458801
-0.24972704	-0.6914686	2.00558	1.5377919	0.46387982	1.7080666	2.0887365	1.8062479	-0.52645796	-0.85847057	-0.34617926	1.7155749	-2.2689505	1.6542953	1.0784696	0.64106054	0.85798701	-0.62965633	1.445836	0.82063848	1.6308946	1.5472115	2.2030095
0.90080356	-0.13449054	-0.16381492	-0.33332127	-0.04745106	0.13215515	0.12868261	-0.2230299	0.12990996	-0.28925201	0.21064719	0.37301999	0.91389353	0.37620856	0.32170787	1.4213178	0.69531099	-0.13994857	0.44300784	0.62213236	-0.62403867	-0.21925675	0.20412599
-0.34880018	0.82766038	-0.56119456	-0.57800528	-1.3862543	-1.1958693	-0.51935254	-0.66872835	-0.43806675	-1.7336786	-0.2344879	-0.14438757	-1.5355471	-0.49089292	0.052651642	-0.27645112	0.49309748	-1.7297625	-0.82452072	-0.6747039	-0.44793867	-0.62488026	-1.1752969
