"","BBAS3","BBDC3","BBDC4","BOVA11","BRAP4","BRFS3","BRKM5","BRML3","BTOW3","CCRO3","CESP6","CIEL3","CMIG4","CPFE3","CPLE6","CSAN3","CSMG3","CSNA3","CYRE3","ELET6","EMBR3","FIBR3","GGBR4","GOAU4","HGTX3","HYPE3","ITUB4","LAME4","LIGT3","LREN3","MULT3","NATU3","PETR3","PETR4","PSSA3","RENT3","SANB11","SBSP3","TRPL4","VALE3","VALE5"
"2010-01-04",17.871489831,14.88406751,17.862099775,69.37,26.732850816,20.3980502366,11.02904913,7.5055518,57.0164615633,7.430404086,14.5281556882,7.070977002,9.452558976,13.4883122,28.7182503225,18.72801243,25.26404958,19.0601718923,20.167302562,19.21879146,8.863662696,35.144483238,26.178554648,31.8870359395,7.494309505,19.4290786304,20.9925597112,7.6819234275,14.7805944308,6.61217018,29.213014848,28.227960932,36.3290154955,30.6695976456,14.6637762495,16.08959469,13.4048427125,9.429615216,33.0735472456,37.6767437166,30.8128850432
"2010-01-05",17.692177224,14.6790602144,17.774176875,69.9,27.2715995952,20.6118756158,10.9284332432,7.6445435,55.655716082,7.532317359,14.908287317,7.0217486811,9.59719488,13.325713368,28.755790519,18.7353567486,25.26404958,19.2364979799,19.9756298517,18.92759765,8.657113312,36.485875728,26.620759963,32.27035787,7.5324161635,19.68522371,21.1286032188,7.413665784,14.417279,6.373967776,29.082986592,27.8704564136,36.110954178,30.40662146,14.415237669,16.3041226192,13.5346580314,9.44350272,33.092768602,38.0279737998,31.2447752058
"2010-01-06",17.7160855716,14.5925997812,17.63198346,70.3,27.653497464,20.892521426,11.1915824856,7.99202275,56.268664497,7.78246812,15.086474018,7.0038474735,9.4164,13.41440364,28.8834271871,18.1992214908,25.26404958,19.260234184,20.00063064,18.6888187258,8.62119168,36.4053921786,26.797642089,32.591278556,7.6213317,20.4536589488,20.9454677278,7.2722208447,14.4057451768,6.250759636,29.47307136,28.2130649104,36.4685747387,30.81752175,14.7347872725,17.574788046,13.4669282998,9.4407252192,32.932590632,38.8328760738,31.8607497
"2010-01-07",17.7220626585,14.5589762794,17.584585655,70,27.96037968,20.7633352594,10.912953876,7.887778975,56.9061308486,7.7102023446,15.5913363375,7.1694336438,9.32600256,13.24810938,28.605629733,17.2297714356,23.73289506,19.056781006,19.6172852194,19.102313936,8.504446376,36.1102858308,26.1962428606,31.949437184,7.6213317,20.7003171736,20.7309375812,7.267343433,14.1173995968,6.193262504,29.343043104,27.259719528,36.2505134212,30.529891547,14.91231483,16.832191368,13.3709778467,9.290740176,32.772412662,38.9938565286,32.073154698
"2010-01-08",17.8236731358,14.578189709,17.565626533,69.48,28.369555968,20.847974472,10.758160204,7.818283125,55.5453853673,7.708349376,15.086474018,7.0799276058,9.316962816,13.41440364,28.7182503225,17.3840021262,22.7453003946,19.4874235661,19.583950835,19.3236212316,8.48648556,35.32333557,26.1254900102,32.002923965,7.748353895,21.250554752,20.4169910252,7.2917304915,13.84058784,6.226118008,28.042760544,26.81283888,35.9801173875,30.365531431,14.9052137277,16.9889617778,13.2355183835,9.4462802208,32.1060723068,39.3743557854,32.250158863
"2010-01-11",17.9611461345,14.530156135,17.5798458745,69.99,28.4923088544,20.781154041,11.80301749,7.6827662175,55.042767667,7.78246812,15.0508366778,6.981470964,9.31093632,13.72851502,29.1687326805,17.442756675,22.431413718,19.870593718,19.7756235453,19.247910841,8.567309232,35.457474819,26.1431782228,32.537791775,7.8372694315,20.918514834,20.2390879768,7.31611755,13.782918724,6.341112272,27.4879733184,26.2765821024,36.0150071983,30.2669153614,14.91231483,17.079723594,13.376621991,9.5157177408,32.35594994,39.257279091,32.391762195
"2010-01-12",17.811718962,14.602206496,17.63198346,69.7,28.4991284592,20.71433361,11.686922236,7.60284599,54.3930423471,7.78246812,15.1755673685,6.7711317747,9.35613504,13.82090072,29.7468517066,17.075540745,22.20174054,19.5009871113,20.1006337932,18.956717031,8.854682288,34.1876232618,25.9574519905,32.020752892,7.849971651,20.064697902,20.0507200432,7.4282980191,13.9789937184,6.48896204,27.435962016,26.887318988,35.5614396579,29.8806690888,14.841303807,17.574788046,13.3991985682,9.332402688,32.7478374203,39.14751969,32.462563861
"2010-01-13",18.0388482642,14.698273644,17.72677907,70,28.7514538368,20.9014308168,11.532128564,7.5924216125,54.920177984,7.671290004,15.3596936262,6.6905763405,9.374214528,13.74699216,29.1912567984,16.928654373,21.81895191,19.836684855,19.7922907375,19.3294451078,8.764878208,33.53481225,26.0812694787,32.0920686,8.027802724,19.7990659676,20.1135093544,7.5063366063,14.1058657736,6.562886924,27.132562752,26.5223664588,35.238708908,29.831361054,14.841303807,17.6738009364,13.489504877,9.4379477184,32.8329307416,39.6304610544,32.9298548566
"2010-01-14",17.7818335275,14.506139348,17.34759663,69.5,28.6014225312,20.513872317,11.532128564,7.21366923,54.8343652059,7.708349376,14.967682884,6.7800823785,9.16027392,13.684169884,28.7257583618,17.332591896,21.43616328,20.00622917,19.6089516233,18.898478269,8.684054536,32.9177717046,26.0547371598,31.753318987,8.180229358,20.5769880612,19.8361898966,7.3795239021,14.12893342,6.4166799312,27.479304768,26.44043834,34.6717494825,29.3136266886,14.770292784,17.7150563074,13.1226354975,9.3074051808,32.6758353792,39.623143761,32.8378126908
"2010-01-15",17.4829791825,14.1795110448,17.101128044,68.5,28.267261896,20.669786656,11.183842802,7.3074886275,53.326512105,7.6453484436,14.7776170696,6.7890329823,9.00961152,13.499398484,28.305308161,17.2077384798,20.479191705,19.5857592688,19.3672773364,18.141374363,8.764878208,31.74628893,25.5152466755,30.9955895895,8.485082626,20.39673782,19.5013135702,7.2966079032,13.84058784,6.1899769536,27.565990272,26.1872059728,34.8810883473,29.379370735,14.699281761,17.5665369718,12.925090447,9.30462768,32.7347461401,39.110933223,32.6678886924
