;BBAS3;BBDC3;BBDC4;BOVA11;BRAP4;BRFS3;BRKM5;BRML3;BTOW3;CCRO3;CESP6;CIEL3;CMIG4;CPFE3;CPLE6;CSAN3;CSMG3;CSNA3;CYRE3;ELET6;EMBR3;FIBR3;GGBR4;GOAU4;HGTX3;HYPE3;ITUB4;LAME4;LIGT3;LREN3;MULT3;NATU3;PETR3;PETR4;PSSA3;RENT3;SANB11;SBSP3;TRPL4;VALE3;VALE5
04/01/10;0.000136463;0.000244565;0.000222819;0.000061402;0.000287416;0.000500144;0.000262424;0.000255887;0.000189673;0.001076625;0.000526549;0.000334201;0.000192681;0.000264331;0.000407076;0.000501834;0.000617084;0.000068066;0.000326842;0.000234690;0.000273441;0.000170980;0.000133077;0.000186856;0.002164853;0.000902792;0.000245156;0.000180995;0.000237062;0.000126840;0.001985252;0.000523431;0.000101077;0.000054620;0.000579629;0.001008263;0.000225107;0.001118702;0.000570192;0.000118872;0.000070779
05/01/10;0.000314653;0.000212124;0.000237013;0.000139194;0.000191366;0.000298218;0.000362598;0.000356762;0.000312533;0.000265228;0.000678234;0.000300717;0.000171147;0.000255985;0.000541753;0.000723693;0.000874773;0.000205294;0.000273128;0.000415194;0.000476995;0.000526830;0.000164161;0.000240021;0.000245544;0.000924530;0.000199962;0.000320379;0.000345699;0.000524706;0.000411186;0.000871209;0.000142038;0.000117987;0.000858969;0.000805631;0.000360773;0.000415039;0.000462349;0.000293393;0.000213809
06/01/10;0.000180762;0.000265692;0.000154511;0.000061556;0.000370110;0.000279541;0.000483856;0.000407815;0.000393414;0.000817289;0.000450391;0.000219688;0.000225714;0.000363241;0.000701667;0.000508712;0.000126170;0.000272509;0.000310017;0.000546642;0.000322907;0.000473327;0.000165397;0.000257641;0.000048756;0.000756628;0.000107860;0.000347176;0.000096204;0.000377146;0.000260218;0.000429069;0.000232204;0.000122508;0.000453894;0.001443583;0.000355437;0.000461570;0.000331725;0.000267421;0.000160041
07/01/10;0.000149483;0.000184277;0.000155742;0.000116196;0.000209794;0.000323854;0.000252154;0.000980115;0.000622856;0.000379533;0.000566368;0.000369152;0.000183829;0.000209214;0.000296461;0.000902948;0.001152829;0.000181275;0.000307298;0.000343989;0.000253315;0.000330933;0.000307910;0.000423244;0.000874205;0.001648670;0.000122343;0.000398433;0.000161992;0.000539924;0.001278046;0.000631530;0.000257021;0.000072836;0.000514317;0.000900570;0.000285711;0.000259942;0.000585144;0.000249973;0.000162829
08/01/10;0.000120588;0.000350249;0.000213619;0.000163557;0.000377150;0.000474714;0.000205261;0.001094749;0.000244398;0.000404875;0.000586837;0.000372233;0.000228284;0.000263737;0.001112994;0.002349936;0.000645681;0.000227235;0.000408411;0.000855925;0.000394503;0.000448931;0.000220803;0.000325125;0.000254732;0.002308569;0.000177081;0.000313409;0.000379292;0.000172704;0.001516321;0.000322120;0.000217231;0.000115818;0.000373513;0.000943144;0.001945963;0.000413204;0.000200994;0.000306352;0.000166962
11/01/10;0.000192306;0.000439807;0.000216187;0.000084337;0.000186557;0.000202056;0.000818098;0.001638267;0.000204987;0.000346660;0.001047943;0.000492849;0.000237324;0.000232327;0.000326739;0.000433733;0.000362612;0.000155621;0.000364049;0.000652779;0.000198177;0.000424064;0.000156684;0.000263426;0.000694941;0.001457011;0.000342040;0.000300413;0.000170164;0.000237756;0.001140490;0.000269166;0.000193423;0.000088950;0.001805692;0.000617942;0.000372548;0.000176304;0.000533579;0.000199867;0.000075558
12/01/10;0.000290174;0.000270056;0.000263403;0.000160751;0.000264475;0.000263976;0.000544881;0.000467538;0.000348095;0.000419916;0.000885988;0.000348539;0.000372243;0.000310902;0.000591065;0.000675289;0.000275625;0.000240184;0.000375482;0.000476373;0.000523940;0.000289097;0.000267509;0.000485285;0.000115674;0.001184459;0.000210415;0.000419121;0.000216003;0.000476241;0.000368282;0.000179037;0.000151286;0.000097875;0.000262453;0.000753811;0.000205511;0.000293070;0.000356310;0.000227664;0.000152100
13/01/10;0.000250502;0.000202842;0.000192756;0.000167457;0.000347934;0.000365427;0.000957019;0.000634868;0.000806426;0.000640518;0.001245205;0.000507079;0.000291020;0.000237009;0.000388265;0.000385781;0.000170257;0.000315023;0.000463453;0.000798006;0.000466800;0.000326106;0.000255635;0.000465037;0.000977633;0.000798001;0.000300049;0.000424878;0.000250362;0.000446653;0.000437987;0.000297535;0.000354091;0.000280223;0.000819005;0.001447467;0.000343541;0.000455103;0.000450129;0.000287292;0.000128222
14/01/10;0.000160107;0.000260668;0.000192657;0.000086033;0.000229564;0.000289387;0.000306900;0.000344867;0.000313146;0.001118474;0.000969096;0.000197582;0.000286173;0.000334263;0.000456475;0.000367003;0.000219778;0.000169166;0.000303143;0.000878919;0.000332769;0.000529478;0.000285437;0.000541728;0.000682120;0.000784955;0.000242791;0.000438811;0.000367486;0.000388819;0.000189310;0.000332872;0.000231105;0.000158009;0.000625894;0.001396210;0.000178468;0.000333595;0.000200329;0.000237426;0.000097216
15/01/10;0.000283907;0.000301421;0.000156554;0.000072127;0.000349221;0.000293520;0.000395388;0.000453867;0.000195351;0.000625659;0.000948050;0.000246709;0.000242002;0.000499138;0.000509258;0.000659907;0.000415285;0.000351225;0.000266663;0.000520461;0.000545260;0.000307423;0.000217985;0.000523706;0.003894039;0.001656809;0.000202576;0.000267965;0.000478239;0.000375711;0.000795682;0.000244303;0.000214552;0.000181519;0.001120882;0.000469136;0.000290628;0.000542257;0.000490151;0.000205499;0.000094213
