"","V1","V2","V3","V4"
"1",127,NA,NA,1011
"2",125,NA,NA,1011
"3",128,NA,NA,1012
"4",126,NA,NA,1010
"5",128,NA,NA,1010
"6",124,NA,NA,1010
"7",128,NA,NA,1011
"8",125,NA,NA,1011
"9",127,NA,NA,1010
"10",126,NA,NA,1011
"11",126,NA,NA,1009
"12",126,NA,NA,1011
"13",128,NA,NA,1011
"14",125,NA,NA,1009
"15",128,NA,NA,1009
"16",124,NA,NA,1004
"17",128,NA,NA,1004
"18",124,NA,NA,1004
"19",128,NA,NA,1004
"20",126,NA,NA,1004
"21",126,NA,NA,1002
"22",125,NA,NA,1004
"23",123,NA,NA,1004
"24",124,NA,NA,1008
"25",128,NA,NA,1009
"26",124,NA,NA,1007
"27",128,NA,NA,1007
"28",124,NA,NA,1006
"29",128,NA,NA,1007
"30",125,NA,NA,1007
"31",127,NA,NA,1006
"32",125,NA,NA,1007
"33",126,NA,NA,1006
"34",124,NA,NA,1008
"35",127,NA,NA,1009
"36",125,NA,NA,1009
"37",128,NA,NA,1009
"38",124,NA,NA,1006
"39",128,NA,NA,1006
"40",124,NA,NA,1006
"41",128,NA,NA,1006
"42",125,NA,NA,1006
"43",127,NA,NA,1005
"44",125,NA,NA,NA
"45",125,NA,NA,NA
"46",124,NA,NA,NA
"47",128,NA,NA,NA
"48",124,NA,NA,NA
"49",128,NA,NA,NA
"50",124,NA,NA,NA
"51",127,NA,NA,NA
